severity,entity_type,source_sheet,source_row,source_key,issue_code,issue_detail,suggested_action
WARN,Vendor,List,4;5,acqua trend,VENDOR_FIELD_CONFLICT,"website_url: nilai berbeda antar baris source = ['https://acquatrend.com', 'https://acquatrend.com/'], dipilih 'https://acquatrend.com' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,6;7,aetrio,VENDOR_FIELD_CONFLICT,"instagram_url: nilai berbeda antar baris source = ['https://www.instagram.com/aetrio.official/', 'https://www.instagram.com/afifjayafurniture/'], dipilih 'https://www.instagram.com/afifjayafurniture/' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,78;79,centralite,VENDOR_FIELD_CONFLICT,"website_url: nilai berbeda antar baris source = ['https://centralite.co.id/', 'https://www.centralite.co.id/'], dipilih 'https://www.centralite.co.id/' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,78;79,centralite,VENDOR_FIELD_CONFLICT,"instagram_url: nilai berbeda antar baris source = ['https://www.instagram.com/centralite.official/?hl=en', 'https://www.instagram.com/centralite.official?igsh=MWtzZmkxOWh2anBwdQ=='], dipilih 'https://www.instagram.com/centralite.official?igsh=MWtzZmkxOWh2anBwdQ==' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,110;111,diverso,VENDOR_FIELD_CONFLICT,"website_url: nilai berbeda antar baris source = ['https://diversoart.com', 'https://diversoart.com/'], dipilih 'https://diversoart.com' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,110;111,diverso,VENDOR_FIELD_CONFLICT,"instagram_url: nilai berbeda antar baris source = ['https://www.instagram.com/diverso.art/', 'https://www.instagram.com/diverso.art/?hl=en'], dipilih 'https://www.instagram.com/diverso.art/' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,110;111,diverso,VENDOR_FIELD_CONFLICT,"address: nilai berbeda antar baris source = ['Bali', 'Jakarta'], dipilih 'Jakarta' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,180;181;182,high point,VENDOR_FIELD_CONFLICT,"website_url: nilai berbeda antar baris source = ['https://highpointoffice.com/', 'https://highpointoffice.com/vecho-tkdn/'], dipilih 'https://highpointoffice.com/' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,180;181;182,high point,VENDOR_FIELD_CONFLICT,"instagram_url: nilai berbeda antar baris source = ['https://highpointoffice.com/vecho-tkdn/', 'https://www.instagram.com/highpoint_office/'], dipilih 'https://www.instagram.com/highpoint_office/' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,188;189,inax,VENDOR_FIELD_CONFLICT,"website_url: nilai berbeda antar baris source = ['https://www.inax.co.id/id/products/ecocarat-plus/', 'https://www.inax.co.id/id/products/japanese-tile-world/'], dipilih 'https://www.inax.co.id/id/products/ecocarat-plus/' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,230;231,lantekayu,VENDOR_FIELD_CONFLICT,"website_url: nilai berbeda antar baris source = ['https://renson.net/gd-gb\nhttps://www.reynaers.com/', 'https://www.lantekayu.com/?gad_source=1&gad_campaignid=22660684709&gbraid=0AAAAA_roberjfntVwZMJ-xaeDSE0Nx9Ky&gclid=CjwKCAjw04HIBhB8EiwA8jGNbXtEJA1lCgM02RI0cUZRUgQRcuGcVRinxtMqPgEMqXZRRpEUscv4jBoChKMQAvD_BwE'], dipilih 'https://renson.net/gd-gb
https://www.reynaers.com/' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,233;234,lava solid surface,VENDOR_FIELD_CONFLICT,"website_url: nilai berbeda antar baris source = ['https://www.lavasolid.com/?fbclid=PAZXh0bgNhZW0CMTEAAaZZmCx1FhTEPfWW83okxBu6jS8ozx3rraw0YTeWZH3Y83aUzE0qQeJqRzo_aem_kkJKFcl6JjHSaRLXq5bZDg', 'https://www.lavasolid.com/?fbclid=PAZnRzaANii7hleHRuA2FlbQIxMQABp2_s7nuY7Cl3Ar8LOVjPwFowjlMhxgAjac9_f0RN1wt1aZQ5D1cfn4KCsZAO_aem_7KYR5pSfxmhOKvdYXuGlkg'], dipilih 'https://www.lavasolid.com/?fbclid=PAZXh0bgNhZW0CMTEAAaZZmCx1FhTEPfWW83okxBu6jS8ozx3rraw0YTeWZH3Y83aUzE0qQeJqRzo_aem_kkJKFcl6JjHSaRLXq5bZDg' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,283;466,morgen,VENDOR_FIELD_CONFLICT,"website_url: nilai berbeda antar baris source = ['https://morgen.co.id/', 'https://morgen.co.id/id/#'], dipilih 'https://morgen.co.id/' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,283;466,morgen,VENDOR_FIELD_CONFLICT,"instagram_url: nilai berbeda antar baris source = ['https://www.instagram.com/morgen_idn/%20', 'https://www.instagram.com/morgen_idn/?hl=en'], dipilih 'https://www.instagram.com/morgen_idn/%20' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,307;308,oslo,VENDOR_FIELD_CONFLICT,"instagram_url: nilai berbeda antar baris source = ['https://www.instagram.com/oslo.id/', 'https://www.instagram.com/osloflooring/'], dipilih 'https://www.instagram.com/osloflooring/' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,307;308,oslo,VENDOR_FIELD_CONFLICT,"address: nilai berbeda antar baris source = ['Bali, Medan, Padang', 'Jakarta'], dipilih 'Bali, Medan, Padang' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,329;330,prive furniture,VENDOR_FIELD_CONFLICT,"address: nilai berbeda antar baris source = ['Jakarta', 'Jakarta, Surabaya'], dipilih 'Jakarta, Surabaya' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,355;356,roxy glass,VENDOR_FIELD_CONFLICT,"website_url: nilai berbeda antar baris source = ['https://www.roxyglass.com/', 'www.roxyglass.com'], dipilih 'www.roxyglass.com' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
WARN,Vendor,List,355;356,roxy glass,VENDOR_FIELD_CONFLICT,"instagram_url: nilai berbeda antar baris source = ['https://www.instagram.com/roxy_glass', 'https://www.instagram.com/roxy_glass?igsh=MWl1cHNzeXF5dXJwZQ=='], dipilih 'https://www.instagram.com/roxy_glass?igsh=MWl1cHNzeXF5dXJwZQ==' (paling sering, lalu paling awal)","Rekonsiliasi manual bila field ini penting; nilai lain tidak hilang, tetap ada di source_rows."
